Date (ex: 2022-08-25),Plan Number (ex: UP20221101001470),Finish Good GMC (ex: VFQ2410),Model (ex: B121SC3),Color (ex: PE),Destination (ex: LZ)
11/8/2022,UP20221018000178,VCM7900,P22D,SW,LZ
11/8/2022,UP20221018000191,VCM7890,P22D,SE,LZ
11/8/2022,UP20221018000218,VCM7900,P22D,SW,LZ
11/8/2022,UP20221018000140,VCM7910,P22D,DO,LZ
11/8/2022,UP20221018000230,VCM7900,P22D,SW,LZ
11/8/2022,UP20221018000244,VCM7890,P22D,SE,LZ
11/8/2022,UP20221019000141,VCM7900,P22D,SW,LZ
11/8/2022,UP20221019000154,VCM7900,P22D,SW,LZ
11/8/2022,UP20221019000179,VCM7890,P22D,SE,LZ
11/8/2022,UP20221019000193,VCM7910,P22D,DO,LZ
11/7/2022,UP20221111001461,VAN1280,B121,PE,AZ
11/4/2022,UP20221111001473,VFQ2590,U1JSC3,PE,AP2
11/7/2022,UP20221111001462,VAN1280,B121,PE,AZ
11/7/2022,UP20221111001463,VAN1280,B121,PE,AZ
11/7/2022,UP20221111001464,VAN1280,B121,PE,AZ
11/4/2022,UP20221114001471,VFQ2380,B113SC3,PE,JP
11/4/2022,UP20221114001472,VFQ2530,JU109SC3,PE,AP2
11/7/2022,UP20221114001518,WH50350,JU109,PE,AZ
11/7/2022,UP20221114001519,WH50350,JU109,PE,AZ
11/7/2022,UP20221114001520,WH50350,JU109,PE,AZ
11/7/2022,UP20221114001521,WH50350,JU109,PE,AZ
11/7/2022,UP20221114001522,WH50350,JU109,PE,AZ
11/7/2022,UP20221114001523,WH50350,JU109,PE,AZ
11/7/2022,UP20221114001524,WH50350,JU109,PE,AZ
11/7/2022,UP20221114001531,WH50410,JX113T,PE,AZ
11/4/2022,UP20221115001474,VFQ2530,JU109SC3,PE,AP2
11/7/2022,UP20221115001512,WH50350,JU109,PE,AZ
11/7/2022,UP20221115001513,WH50350,JU109,PE,AZ
11/7/2022,UP20221115001514,WH50350,JU109,PE,AZ
11/7/2022,UP20221115001515,WH50350,JU109,PE,AZ
11/7/2022,UP20221115001516,WH50350,JU109,PE,AZ
11/7/2022,UP20221115001517,WH50350,JU109,PE,AZ
11/7/2022,UP20221115001518,WH50350,JU109,PE,AZ
11/7/2022,UP20221115001529,WH50410,JX113T,PE,AZ
11/4/2022,UP20221116001507,VFQ2740,B3ESC3,PE,EP
11/4/2022,UP20221116001509,VFQ2750,B3ESC3,PWH,EP
11/7/2022,UP20221116001456,AAC7368,U1J,PE,LZ
11/7/2022,UP20221116001514,VFV5530,U1J,PE,LZ
11/7/2022,UP20221116001542,ZF42500,B3,PE,LZ
11/7/2022,UP20221116001543,ZF42500,B3,PE,LZ
11/7/2022,UP20221116001544,ZF42500,B3,PE,LZ
11/7/2022,UP20221116001545,ZF42500,B3,PE,LZ
11/7/2022,UP20221116001546,ZF42500,B3,PE,LZ
11/7/2022,UP20221116001547,ZF42500,B3,PE,LZ
11/7/2022,UP20221116001548,ZF42500,B3,PE,LZ
11/7/2022,UP20221116001565,ZH66250,B3E,PE,EZ
11/7/2022,UP20221116001566,ZH66250,B3E,PE,EZ
11/7/2022,UP20221116001567,ZH66250,B3E,PE,EZ
11/7/2022,UP20221116001569,ZN12160,B3E,PEC,EZ
11/7/2022,UP20221116001574,ZW44790,B3,PWH,LZ
11/3/2022,UP20221117001504,VFQ2780,B1SC3,PE,LP
11/4/2022,UP20221117001488,VFQ2690,B2ESC3,PE,EP
11/4/2022,UP20221117001489,VFQ2690,B2ESC3,PE,EP
11/4/2022,UP20221117001490,VFQ2690,B2ESC3,PE,EP
11/4/2022,UP20221117001492,VFQ2700,B2ESC3,PWH,EP
11/4/2022,UP20221117001493,VFQ2700,B2ESC3,PWH,EP
11/4/2022,UP20221117001496,VFQ2740,B3ESC3,PE,EP
11/4/2022,UP20221117001497,VFQ2740,B3ESC3,PE,EP
11/4/2022,UP20221117001498,VFQ2740,B3ESC3,PE,EP
11/4/2022,UP20221117001502,VFQ2750,B3ESC3,PWH,EP
11/4/2022,UP20221117001505,VFQ2830,B2SC3,PM,LP
11/4/2022,UP20221117001506,VFQ2840,B2SC3,PW,LP
11/4/2022,UP20221117001507,VFQ2860,B3SC3,PE,LP
11/7/2022,UP20221117001455,AAC7368,U1J,PE,LZ
11/7/2022,UP20221117001537,ZF42500,B3,PE,LZ
11/7/2022,UP20221117001538,ZF42500,B3,PE,LZ
11/7/2022,UP20221117001539,ZF42500,B3,PE,LZ
11/7/2022,UP20221117001540,ZF42500,B3,PE,LZ
11/7/2022,UP20221117001541,ZF42500,B3,PE,LZ
11/7/2022,UP20221117001542,ZF42500,B3,PE,LZ
11/4/2022,UP20221117001491,VFQ2690,B2ESC3,PE,EP
11/4/2022,UP20221117001494,VFQ2700,B2ESC3,PWH,EP
11/7/2022,UP20221117001543,ZF42500,B3,PE,LZ
11/7/2022,UP20221117001544,ZF42500,B3,PE,LZ
11/7/2022,UP20221117001545,ZF42500,B3,PE,LZ
11/7/2022,UP20221117001546,ZF42500,B3,PE,LZ
11/7/2022,UP20221117001557,ZF71250,B2,PE,LZ
11/7/2022,UP20221117001558,ZF71250,B2,PE,LZ
11/7/2022,UP20221117001559,ZF71250,B2,PE,LZ
11/7/2022,UP20221117001560,ZF71250,B2,PE,LZ
11/7/2022,UP20221117001561,ZF71250,B2,PE,LZ
11/7/2022,UP20221117001562,ZF71250,B2,PE,LZ
11/7/2022,UP20221117001568,ZH66250,B3E,PE,EZ
11/7/2022,UP20221117001569,ZH66250,B3E,PE,EZ
11/7/2022,UP20221117001570,ZH66250,B3E,PE,EZ
11/7/2022,UP20221117001563,ZF71250,B2,PE,LZ
11/7/2022,UP20221117001564,ZF71250,B2,PE,LZ
11/7/2022,UP20221117001565,ZF71250,B2,PE,LZ
11/7/2022,UP20221117001566,ZF71250,B2,PE,LZ
11/7/2022,UP20221117001567,ZF71250,B2,PE,LZ
11/3/2022,UP20221118001478,VFQ2640,B1SC3,PE,EP
11/3/2022,UP20221118001479,VFQ2640,B1SC3,PE,EP
11/3/2022,UP20221118001480,VFQ2640,B1SC3,PE,EP
11/3/2022,UP20221118001481,VFQ2640,B1SC3,PE,EP
11/3/2022,UP20221118001482,VFQ2640,B1SC3,PE,EP
11/3/2022,UP20221118001483,VFQ2640,B1SC3,PE,EP
11/3/2022,UP20221118001489,VFQ2660,B1SC3,PWH,EP
11/4/2022,UP20221118001484,VFQ2640,B1SC3,PE,EP
11/4/2022,UP20221118001485,VFQ2640,B1SC3,PE,EP
11/4/2022,UP20221118001486,VFQ2640,B1SC3,PE,EP
11/4/2022,UP20221118001487,VFQ2640,B1SC3,PE,EP
11/4/2022,UP20221118001488,VFQ2650,B1SC3,PM,EP
11/4/2022,UP20221118001490,VFQ2660,B1SC3,PWH,EP
11/4/2022,UP20221118001491,VFQ2660,B1SC3,PWH,EP
11/4/2022,UP20221118001492,VFQ2680,B1SC3,PEC,EP
11/4/2022,UP20221118001509,VFQ2780,B1SC3,PE,LP
11/7/2022,UP20221118001534,WH50360,JU109,PE,LZ
11/7/2022,UP20221118001535,WH50360,JU109,PE,LZ
11/7/2022,UP20221118001536,WH50360,JU109,PE,LZ
11/8/2022,UP20221025000243,VAR8160,P121GC,PE,AZ
11/8/2022,UP20221026000175,VAR8160,P121GC,PE,AZ
11/7/2022,UP20221101001503,VFQ3340,P121SH3,PE,EP
11/7/2022,UP20221101001504,VFQ3350,P121SH3,PEC,EP
11/8/2022,UP20221101001468,VAR8170,P121GC,PE,LZ
11/8/2022,UP20221101001533,WV62390,P121G,PWHC,EZ
11/8/2022,UP20221101001505,VFQ3360,P121SH3,PWH,EP
11/8/2022,UP20221101001506,VFQ3370,P121SH3,PWHC,EP
11/8/2022,UP20221102001474,VAR8170,P121GC,PE,LZ
11/8/2022,UP20221102001509,VFQ3340,P121SH3,PE,EP
11/8/2022,UP20221102001510,VFQ3350,P121SH3,PEC,EP
11/8/2022,UP20221102001511,VFQ3360,P121SH3,PWH,EP
11/8/2022,UP20221111001454,AAC7366,U1J,PE,AZ
11/8/2022,UP20221111001465,VAN1280,B121,PE,AZ
11/8/2022,UP20221111001466,VAN1280,B121,PE,AZ
11/8/2022,UP20221111001467,VAN1280,B121,PE,AZ
11/8/2022,UP20221111001468,VAN1280,B121,PE,AZ
11/7/2022,UP20221114001473,VFQ2590,U1JSC3,PE,AP2
11/8/2022,UP20221114001453,AAC7366,U1J,PE,AZ
11/8/2022,UP20221114001461,VAN1280,B121,PE,AZ
11/8/2022,UP20221114001462,VAN1280,B121,PE,AZ
11/8/2022,UP20221114001463,VAN1280,B121,PE,AZ
11/8/2022,UP20221114001464,VAN1280,B121,PE,AZ
11/8/2022,UP20221114001465,VAN1280,B121,PE,AZ
11/8/2022,UP20221114001466,VAN1280,B121,PE,AZ
11/8/2022,UP20221114001454,AAC7366,U1J,PE,AZ
11/8/2022,UP20221114001467,VAN1280,B121,PE,AZ
11/8/2022,UP20221114001468,VAN1280,B121,PE,AZ
11/8/2022,UP20221114001469,VAN1280,B121,PE,AZ
11/7/2022,UP20221115001473,VFQ2380,B113SC3,PE,JP
11/8/2022,UP20221115001453,AAC7366,U1J,PE,AZ
11/8/2022,UP20221115001462,VAN1280,B121,PE,AZ
11/8/2022,UP20221115001463,VAN1280,B121,PE,AZ
11/8/2022,UP20221115001464,VAN1280,B121,PE,AZ
11/8/2022,UP20221115001465,VAN1280,B121,PE,AZ
11/7/2022,UP20221116001477,VFQ2530,JU109SC3,PE,AP2
11/7/2022,UP20221117001495,VFQ2700,B2ESC3,PWH,EP
11/7/2022,UP20221117001499,VFQ2740,B3ESC3,PE,EP
11/7/2022,UP20221117001500,VFQ2740,B3ESC3,PE,EP
11/7/2022,UP20221117001501,VFQ2740,B3ESC3,PE,EP
11/7/2022,UP20221117001503,VFQ2750,B3ESC3,PWH,EP
11/8/2022,UP20221117001456,AAC7368,U1J,PE,LZ
11/8/2022,UP20221117001510,VFV5530,U1J,PE,LZ
11/8/2022,UP20221117001547,ZF42500,B3,PE,LZ
11/8/2022,UP20221117001548,ZF42500,B3,PE,LZ
11/8/2022,UP20221117001549,ZF42500,B3,PE,LZ
11/8/2022,UP20221117001550,ZF42500,B3,PE,LZ
11/8/2022,UP20221117001551,ZF42500,B3,PE,LZ
11/8/2022,UP20221117001552,ZF42500,B3,PE,LZ
11/8/2022,UP20221117001553,ZF42500,B3,PE,LZ
11/8/2022,UP20221117001554,ZF42500,B3,PE,LZ
11/8/2022,UP20221117001555,ZF42500,B3,PE,LZ
11/8/2022,UP20221117001556,ZF42500,B3,PE,LZ
11/8/2022,UP20221117001571,ZH66250,B3E,PE,EZ
11/8/2022,UP20221117001572,ZH66250,B3E,PE,EZ
11/8/2022,UP20221117001573,ZH66250,B3E,PE,EZ
11/8/2022,UP20221117001574,ZN12160,B3E,PEC,EZ
11/7/2022,UP20221118001493,VFQ2690,B2ESC3,PE,EP
11/7/2022,UP20221118001494,VFQ2690,B2ESC3,PE,EP
11/7/2022,UP20221118001495,VFQ2690,B2ESC3,PE,EP
11/7/2022,UP20221118001497,VFQ2700,B2ESC3,PWH,EP
11/7/2022,UP20221118001498,VFQ2700,B2ESC3,PWH,EP
11/7/2022,UP20221118001501,VFQ2740,B3ESC3,PE,EP
11/7/2022,UP20221118001502,VFQ2740,B3ESC3,PE,EP
11/7/2022,UP20221118001503,VFQ2740,B3ESC3,PE,EP
11/7/2022,UP20221118001504,VFQ2740,B3ESC3,PE,EP
11/7/2022,UP20221118001505,VFQ2740,B3ESC3,PE,EP
11/7/2022,UP20221118001496,VFQ2690,B2ESC3,PE,EP
11/8/2022,UP20221118001507,VFQ2750,B3ESC3,PWH,EP
11/8/2022,UP20221118001510,VFQ2860,B3SC3,PE,LP
11/8/2022,UP20221118001499,VFQ2700,B2ESC3,PWH,EP
11/8/2022,UP20221118001455,AAC7368,U1J,PE,LZ
11/8/2022,UP20221118001513,VFV5530,U1J,PE,LZ
11/8/2022,UP20221118001538,ZF42500,B3,PE,LZ
11/8/2022,UP20221118001539,ZF42500,B3,PE,LZ
11/8/2022,UP20221118001540,ZF42500,B3,PE,LZ
11/8/2022,UP20221118001541,ZF42500,B3,PE,LZ
11/8/2022,UP20221118001542,ZF42500,B3,PE,LZ
11/8/2022,UP20221118001543,ZF42500,B3,PE,LZ
11/8/2022,UP20221118001544,ZF42500,B3,PE,LZ
11/8/2022,UP20221118001545,ZF42500,B3,PE,LZ
11/8/2022,UP20221118001554,ZF71250,B2,PE,LZ
11/8/2022,UP20221118001555,ZF71250,B2,PE,LZ
11/8/2022,UP20221118001556,ZF71250,B2,PE,LZ
11/8/2022,UP20221118001557,ZF71250,B2,PE,LZ
11/8/2022,UP20221118001558,ZF71250,B2,PE,LZ
11/8/2022,UP20221118001559,ZF71250,B2,PE,LZ
11/8/2022,UP20221118001565,ZH66250,B3E,PE,EZ
11/8/2022,UP20221118001566,ZH66250,B3E,PE,EZ
11/8/2022,UP20221118001567,ZH66250,B3E,PE,EZ
11/8/2022,UP20221118001571,ZH66350,B2E,PW,EZ
11/8/2022,UP20221118001572,ZJ73730,B2,PW,LZ
11/8/2022,UP20221118001537,WH50360,JU109,PE,LZ
11/8/2022,UP20221118001560,ZF71250,B2,PE,LZ
11/8/2022,UP20221118001561,ZF71250,B2,PE,LZ
11/8/2022,UP20221118001562,ZF71250,B2,PE,LZ
11/8/2022,UP20221118001563,ZF71250,B2,PE,LZ
11/8/2022,UP20221118001564,ZF71250,B2,PE,LZ
11/7/2022,UP20221121001478,VFQ2640,B1SC3,PE,EP
11/7/2022,UP20221121001479,VFQ2640,B1SC3,PE,EP
11/7/2022,UP20221121001480,VFQ2640,B1SC3,PE,EP
11/7/2022,UP20221121001481,VFQ2640,B1SC3,PE,EP
11/7/2022,UP20221121001482,VFQ2640,B1SC3,PE,EP
11/7/2022,UP20221121001487,VFQ2660,B1SC3,PWH,EP
11/7/2022,UP20221121001488,VFQ2660,B1SC3,PWH,EP
11/7/2022,UP20221121001491,VFQ2670,B1SC3,PW,EP
11/8/2022,UP20221121001525,WH50360,JU109,PE,LZ
11/8/2022,UP20221121001526,WH50360,JU109,PE,LZ
11/8/2022,UP20221121001527,WH50360,JU109,PE,LZ
11/8/2022,UP20221121001528,WH50360,JU109,PE,LZ
11/9/2022,UP20221019000207,VCM7900,P22D,SW,LZ
11/9/2022,UP20221020000141,VCM7890,P22D,SE,LZ
11/9/2022,UP20221020000154,VCM7900,P22D,SW,LZ
11/9/2022,UP20221020000193,VCM7890,P22D,SE,LZ
11/9/2022,UP20221020000206,VCM7900,P22D,SW,LZ
11/9/2022,UP20221020000233,VCM7900,P22D,SW,LZ
11/9/2022,UP20221020000246,VCM7890,P22D,SE,LZ
11/9/2022,UP20221021000144,VCM7900,P22D,SW,LZ
11/9/2022,UP20221021000156,VCM7910,P22D,DO,LZ
11/9/2022,UP20221021000169,VCM7890,P22D,SE,LZ
11/9/2022,UP20221021000208,VCM7900,P22D,SW,LZ
11/9/2022,UP20221026000233,VAR8160,P121GC,PE,AZ
11/9/2022,UP20221027000150,VAR8160,P121GC,PE,AZ
11/9/2022,UP20221027000209,VAR8160,P121GC,PE,AZ
11/9/2022,UP20221102001475,VAR8170,P121GC,PE,LZ
11/9/2022,UP20221102001512,VFQ3370,P121SH3,PWHC,EP
11/9/2022,UP20221103001499,VFQ3340,P121SH3,PE,EP
11/9/2022,UP20221103001500,VFQ3350,P121SH3,PEC,EP
11/9/2022,UP20221103001501,VFQ3360,P121SH3,PWH,EP
11/9/2022,UP20221103001502,VFQ3370,P121SH3,PWHC,EP
11/9/2022,UP20221103001463,VAR8170,P121GC,PE,LZ
11/8/2022,UP20221115001519,WH50350,JU109,PE,AZ
11/8/2022,UP20221115001520,WH50350,JU109,PE,AZ
11/8/2022,UP20221115001521,WH50350,JU109,PE,AZ
11/8/2022,UP20221115001522,WH50350,JU109,PE,AZ
11/8/2022,UP20221115001523,WH50350,JU109,PE,AZ
11/8/2022,UP20221115001524,WH50350,JU109,PE,AZ
11/8/2022,UP20221115001525,WH50350,JU109,PE,AZ
11/8/2022,UP20221115001526,WH50350,JU109,PE,AZ
11/8/2022,UP20221115001530,WH50410,JX113T,PE,AZ
11/9/2022,UP20221115001466,VAN1280,B121,PE,AZ
11/9/2022,UP20221115001467,VAN1280,B121,PE,AZ
11/9/2022,UP20221115001468,VAN1280,B121,PE,AZ
11/8/2022,UP20221116001476,VFQ2380,B113SC3,PE,JP
11/8/2022,UP20221116001515,WH50350,JU109,PE,AZ
11/8/2022,UP20221116001516,WH50350,JU109,PE,AZ
11/8/2022,UP20221116001517,WH50350,JU109,PE,AZ
11/8/2022,UP20221116001518,WH50350,JU109,PE,AZ
11/8/2022,UP20221116001519,WH50350,JU109,PE,AZ
11/8/2022,UP20221116001520,WH50350,JU109,PE,AZ
11/8/2022,UP20221118001500,VFQ2700,B2ESC3,PWH,EP
11/8/2022,UP20221118001506,VFQ2740,B3ESC3,PE,EP
11/8/2022,UP20221118001508,VFQ2750,B3ESC3,PWH,EP
11/9/2022,UP20221118001456,AAC7368,U1J,PE,LZ
11/9/2022,UP20221118001546,ZF42500,B3,PE,LZ
11/9/2022,UP20221118001547,ZF42500,B3,PE,LZ
11/9/2022,UP20221118001548,ZF42500,B3,PE,LZ
11/9/2022,UP20221118001549,ZF42500,B3,PE,LZ
11/9/2022,UP20221118001550,ZF42500,B3,PE,LZ
11/9/2022,UP20221118001551,ZF42500,B3,PE,LZ
11/9/2022,UP20221118001552,ZF42500,B3,PE,LZ
11/9/2022,UP20221118001553,ZF42500,B3,PE,LZ
11/9/2022,UP20221118001568,ZH66250,B3E,PE,EZ
11/9/2022,UP20221118001569,ZH66250,B3E,PE,EZ
11/9/2022,UP20221118001570,ZH66250,B3E,PE,EZ
11/9/2022,UP20221118001573,ZJ73750,B3,PM,LZ
11/9/2022,UP20221118001574,ZN12160,B3E,PEC,EZ
11/8/2022,UP20221121001493,VFQ2690,B2ESC3,PE,EP
11/8/2022,UP20221121001494,VFQ2690,B2ESC3,PE,EP
11/8/2022,UP20221121001497,VFQ2700,B2ESC3,PWH,EP
11/8/2022,UP20221121001498,VFQ2700,B2ESC3,PWH,EP
11/8/2022,UP20221121001501,VFQ2740,B3ESC3,PE,EP
11/8/2022,UP20221121001502,VFQ2740,B3ESC3,PE,EP
11/8/2022,UP20221121001503,VFQ2740,B3ESC3,PE,EP
11/8/2022,UP20221121001504,VFQ2740,B3ESC3,PE,EP
11/8/2022,UP20221121001529,WH50360,JU109,PE,LZ
11/8/2022,UP20221121001530,WH50360,JU109,PE,LZ
11/8/2022,UP20221121001531,WH50360,JU109,PE,LZ
11/8/2022,UP20221121001532,WH50360,JU109,PE,LZ
11/8/2022,UP20221121001533,WH50360,JU109,PE,LZ
11/8/2022,UP20221121001507,VFQ2750,B3ESC3,PWH,EP
11/8/2022,UP20221121001509,VFQ2860,B3SC3,PE,LP
11/8/2022,UP20221121001483,VFQ2640,B1SC3,PE,EP
11/8/2022,UP20221121001484,VFQ2640,B1SC3,PE,EP
11/8/2022,UP20221121001485,VFQ2640,B1SC3,PE,EP
11/8/2022,UP20221121001486,VFQ2640,B1SC3,PE,EP
11/8/2022,UP20221121001489,VFQ2660,B1SC3,PWH,EP
11/8/2022,UP20221121001490,VFQ2660,B1SC3,PWH,EP
11/8/2022,UP20221121001492,VFQ2680,B1SC3,PEC,EP
11/8/2022,UP20221121001495,VFQ2690,B2ESC3,PE,EP
11/8/2022,UP20221121001496,VFQ2690,B2ESC3,PE,EP
11/8/2022,UP20221121001499,VFQ2700,B2ESC3,PWH,EP
11/8/2022,UP20221121001508,VFQ2780,B1SC3,PE,LP
11/9/2022,UP20221121001454,AAC7368,U1J,PE,LZ
11/9/2022,UP20221121001536,ZF42500,B3,PE,LZ
11/9/2022,UP20221121001537,ZF42500,B3,PE,LZ
11/9/2022,UP20221121001538,ZF42500,B3,PE,LZ
11/9/2022,UP20221121001539,ZF42500,B3,PE,LZ
11/9/2022,UP20221121001540,ZF42500,B3,PE,LZ
11/9/2022,UP20221121001541,ZF42500,B3,PE,LZ
11/9/2022,UP20221121001542,ZF42500,B3,PE,LZ
11/9/2022,UP20221121001543,ZF42500,B3,PE,LZ
11/9/2022,UP20221121001544,ZF42500,B3,PE,LZ
11/9/2022,UP20221121001554,ZF71250,B2,PE,LZ
11/9/2022,UP20221121001555,ZF71250,B2,PE,LZ
11/9/2022,UP20221121001556,ZF71250,B2,PE,LZ
11/9/2022,UP20221121001557,ZF71250,B2,PE,LZ
11/9/2022,UP20221121001558,ZF71250,B2,PE,LZ
11/9/2022,UP20221121001559,ZF71250,B2,PE,LZ
11/9/2022,UP20221121001565,ZH66250,B3E,PE,EZ
11/9/2022,UP20221121001566,ZH66250,B3E,PE,EZ
11/9/2022,UP20221121001567,ZH66250,B3E,PE,EZ
11/9/2022,UP20221121001571,ZJ73720,B2,PM,LZ
11/8/2022,UP20221122001474,VFQ2640,B1SC3,PE,EP
11/8/2022,UP20221122001475,VFQ2640,B1SC3,PE,EP
11/8/2022,UP20221122001476,VFQ2640,B1SC3,PE,EP
11/8/2022,UP20221122001477,VFQ2640,B1SC3,PE,EP
11/8/2022,UP20221122001478,VFQ2640,B1SC3,PE,EP
11/8/2022,UP20221122001484,VFQ2660,B1SC3,PWH,EP
11/8/2022,UP20221122001485,VFQ2660,B1SC3,PWH,EP
11/10/2022,UP20221017000190,WN67640,M3,SBW,AZ
11/10/2022,UP20221017000202,WN67660,M3,SDW,AZ
11/10/2022,UP20221021000221,VCM7900,P22D,SW,LZ
11/10/2022,UP20221021000234,VCM7890,P22D,SE,LZ
11/10/2022,UP20221024000144,VCM7900,P22D,SW,LZ
11/10/2022,UP20221024000171,VCM7890,P22D,SE,LZ
11/10/2022,UP20221024000223,VCM7900,P22D,SW,LZ
11/10/2022,UP20221024000248,VCM7890,P22D,SE,LZ
11/10/2022,UP20221025000132,VCM7910,P22D,DO,LZ
11/10/2022,UP20221025000158,VCM7900,P22D,SW,LZ
11/10/2022,UP20221025000184,VCM7890,P22D,SE,LZ
11/10/2022,UP20221028000135,VAR8160,P121GC,PE,AZ
11/10/2022,UP20221028000190,VAR8160,P121GC,PE,AZ
11/10/2022,UP20221103001464,VAR8170,P121GC,PE,LZ
11/10/2022,UP20221103001523,WT58060,P121G,PE,EZ
11/10/2022,UP20221104001468,VAR8170,P121GC,PE,LZ
11/10/2022,UP20221104001504,VFQ3340,P121SH3,PE,EP
11/10/2022,UP20221104001505,VFQ3350,P121SH3,PEC,EP
11/10/2022,UP20221104001506,VFQ3360,P121SH3,PWH,EP
11/10/2022,UP20221104001507,VFQ3370,P121SH3,PWHC,EP
11/9/2022,UP20221115001475,VFQ2590,U1JSC3,PE,AP2
11/9/2022,UP20221115001454,AAC7366,U1J,PE,AZ
11/9/2022,UP20221115001469,VAN1280,B121,PE,AZ
11/9/2022,UP20221115001470,VAN1280,B121,PE,AZ
11/10/2022,UP20221115001471,VAN1280,B121,PE,AZ
11/9/2022,UP20221116001521,WH50350,JU109,PE,AZ
11/10/2022,UP20221116001453,AAC7366,U1J,PE,AZ
11/10/2022,UP20221116001462,VAN1280,B121,PE,AZ
11/10/2022,UP20221116001463,VAN1280,B121,PE,AZ
11/10/2022,UP20221116001464,VAN1280,B121,PE,AZ
11/10/2022,UP20221116001465,VAN1280,B121,PE,AZ
11/10/2022,UP20221116001466,VAN1280,B121,PE,AZ
11/10/2022,UP20221116001467,VAN1280,B121,PE,AZ
11/10/2022,UP20221116001468,VAN1280,B121,PE,AZ
11/10/2022,UP20221116001469,VAN1280,B121,PE,AZ
11/9/2022,UP20221117001472,VFQ2380,B113SC3,PE,JP
11/9/2022,UP20221117001473,VFQ2530,JU109SC3,PE,AP2
11/9/2022,UP20221121001500,VFQ2700,B2ESC3,PWH,EP
11/9/2022,UP20221121001505,VFQ2740,B3ESC3,PE,EP
11/9/2022,UP20221121001506,VFQ2740,B3ESC3,PE,EP
11/9/2022,UP20221121001534,WH50360,JU109,PE,LZ
11/9/2022,UP20221121001535,WH50360,JU109,PE,LZ
11/9/2022,UP20221121001560,ZF71250,B2,PE,LZ
11/9/2022,UP20221121001561,ZF71250,B2,PE,LZ
11/9/2022,UP20221121001562,ZF71250,B2,PE,LZ
11/9/2022,UP20221121001563,ZF71250,B2,PE,LZ
11/9/2022,UP20221121001564,ZF71250,B2,PE,LZ
11/10/2022,UP20221121001455,AAC7368,U1J,PE,LZ
11/10/2022,UP20221121001512,VFV5530,U1J,PE,LZ
11/10/2022,UP20221121001545,ZF42500,B3,PE,LZ
11/10/2022,UP20221121001546,ZF42500,B3,PE,LZ
11/10/2022,UP20221121001547,ZF42500,B3,PE,LZ
11/10/2022,UP20221121001548,ZF42500,B3,PE,LZ
11/10/2022,UP20221121001549,ZF42500,B3,PE,LZ
11/10/2022,UP20221121001550,ZF42500,B3,PE,LZ
11/10/2022,UP20221121001551,ZF42500,B3,PE,LZ
11/10/2022,UP20221121001552,ZF42500,B3,PE,LZ
11/10/2022,UP20221121001553,ZF42500,B3,PE,LZ
11/10/2022,UP20221121001568,ZH66250,B3E,PE,EZ
11/10/2022,UP20221121001569,ZH66250,B3E,PE,EZ
11/10/2022,UP20221121001570,ZH66250,B3E,PE,EZ
11/10/2022,UP20221121001572,ZJ73730,B2,PW,LZ
11/10/2022,UP20221121001573,ZJ73760,B3,PW,LZ
11/10/2022,UP20221121001574,ZN12160,B3E,PEC,EZ
11/9/2022,UP20221122001489,VFQ2690,B2ESC3,PE,EP
11/9/2022,UP20221122001490,VFQ2690,B2ESC3,PE,EP
11/9/2022,UP20221122001493,VFQ2700,B2ESC3,PWH,EP
11/9/2022,UP20221122001494,VFQ2700,B2ESC3,PWH,EP
11/9/2022,UP20221122001495,VFQ2700,B2ESC3,PWH,EP
11/9/2022,UP20221122001498,VFQ2740,B3ESC3,PE,EP
11/9/2022,UP20221122001499,VFQ2740,B3ESC3,PE,EP
11/9/2022,UP20221122001519,WH50360,JU109,PE,LZ
11/9/2022,UP20221122001520,WH50360,JU109,PE,LZ
11/9/2022,UP20221122001521,WH50360,JU109,PE,LZ
11/9/2022,UP20221122001500,VFQ2740,B3ESC3,PE,EP
11/9/2022,UP20221122001501,VFQ2740,B3ESC3,PE,EP
11/9/2022,UP20221122001502,VFQ2740,B3ESC3,PE,EP
11/9/2022,UP20221122001505,VFQ2860,B3SC3,PE,LP
11/9/2022,UP20221122001479,VFQ2640,B1SC3,PE,EP
11/9/2022,UP20221122001480,VFQ2640,B1SC3,PE,EP
11/9/2022,UP20221122001481,VFQ2640,B1SC3,PE,EP
11/9/2022,UP20221122001482,VFQ2640,B1SC3,PE,EP
11/9/2022,UP20221122001483,VFQ2640,B1SC3,PE,EP
11/9/2022,UP20221122001486,VFQ2660,B1SC3,PWH,EP
11/9/2022,UP20221122001487,VFQ2660,B1SC3,PWH,EP
11/9/2022,UP20221122001488,VFQ2680,B1SC3,PEC,EP
11/9/2022,UP20221122001504,VFQ2780,B1SC3,PE,LP
11/9/2022,UP20221122001522,WH50360,JU109,PE,LZ
11/9/2022,UP20221122001523,WH50360,JU109,PE,LZ
11/9/2022,UP20221122001524,WH50360,JU109,PE,LZ
11/9/2022,UP20221122001525,WH50360,JU109,PE,LZ
11/9/2022,UP20221122001526,WH50360,JU109,PE,LZ
11/10/2022,UP20221122001450,AAC7368,U1J,PE,LZ
11/10/2022,UP20221122001531,ZF42500,B3,PE,LZ
11/10/2022,UP20221122001532,ZF42500,B3,PE,LZ
11/10/2022,UP20221122001533,ZF42500,B3,PE,LZ
11/10/2022,UP20221122001534,ZF42500,B3,PE,LZ
11/10/2022,UP20221122001535,ZF42500,B3,PE,LZ
